Hit Count,Page No,Product URL,Product Name,Product Price,Rating,Number of Reviews
42,3,https://www.amazon.in//AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-46,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,709,4.2,435
43,3,https://www.amazon.in//Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-47,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,3.6,361
44,3,https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-48,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1,8
45,3,https://www.amazon.in//ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-49,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834,4.0,"5,143"
46,3,https://www.amazon.in//Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-50,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,222,4.3,"2,951"
47,3,https://www.amazon.in//DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-51,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239,3.8,"1,400"
48,3,https://www.amazon.in//WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679491497&sprefix=ba%2Caps%2C283&sr=8-52,"WILD MODA Women's Shoulder Bag, Set of 1",849,4.3,"3,506"
50,4,https://www.amazon.in//Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-52,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,799,4.2,"54,802"
51,4,https://www.amazon.in//Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-53,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",299,4.4,282
52,4,https://www.amazon.in//Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1679491551&sprefix=ba%2Caps%2C283&sr=8-54,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,529,4.2,"3,767"
